產品品號,單位,品      名,規      格,生產入庫,託外進貨,材料在製約量,人工製費在製約量,加工費用在製約量,材料成本,單位材料成本,材料成本(％),人工成本,單位人工成本,人工成本(％),製造費用,單位製造費用,製造費用(％),加工費用,單位加工費用,加工費用(％),生產成本,單位生產成本,本階人工成本,本階製造費用,本階加工費用
41018-1883001,PCS,TG-A6200F 150*50*1.5mm 不背膠,長±0.8寬±0.4厚±0.15 100PCS/600箱 全斷,2,,,,,219,109.5,27.41,184,92,23.03,396,198,49.56,,,,799,399.5,184,396,
41018-1883101,PCS,TG-A3500F 150*50*1.0mm 不背膠,長±0.8寬±0.4厚±0.10 100PCS/600箱 全斷,2,,,,,113,56.5,12.2,258,129,27.86,555,277.5,59.94,,,,926,463,258,555,
41018-1883201,PCS,TG-A3500 13.5*5.5*1.0mm 單背3M467,長±0.3寬±0.2厚±0.10 1000PCS/90000箱 膜斷/條狀/透明保護膜,5,,,,,96,19.2,15.26,169,33.8,26.87,364,72.8,57.87,,,,629,125.8,169,364,
41018-1883301,PCS,TG-A3500 310*50*0.5mm 不背膠,長±1.5寬±0.4厚±0.05 100PCS/900箱 全斷/透明保護膜,4,,,,,96,24,20.21,120,30,25.26,259,64.75,54.53,,,,475,118.75,120,259,
41018-1883401,PCS,TG-A4500 16*9*4.5mm 不背膠,長±0.3寬±0.2厚±0.30 1000PCS/10000箱 半斷/透明保護膜,30,,,,,309,10.3,42.04,135,4.5,18.37,291,9.7,39.59,,,,735,24.5,135,291,
41018-1883501,PCS,TG-A6200 33*23*1.0mm 不背膠,長±0.4寬±0.3厚±0.10 1000PCS/9000箱 半斷/透明保護膜,260,,,,,601,2.3115,46.59,218,0.8385,16.9,471,1.8115,36.51,,,,1290,4.9615,218,471,
41018-1883601,PCS,TG-A6200 33*30.5*1.0mm 不背膠,長寬±0.4厚±0.10 1000PCS/6000箱 半斷/透明保護膜,260,,,,,701,2.6962,45.2,270,1.0385,17.41,580,2.2308,37.4,,,,1551,5.9655,270,580,
41018-1883701,PCS,TG-A1250 38*19*3.5mm 不背膠,長±0.4寬±0.3厚±0.25 200PCS/2000箱 半斷/透明保護膜,10,,,,,287,28.7,25.67,263,26.3,23.52,568,56.8,50.81,,,,1118,111.8,263,568,
41018-1883801,PCS,TG-A3500 85*40*0.5mm 雙背S203,長±0.6寬±0.4厚±0.05 500PCS/3000箱 全斷,10,,,,,63,6.3,6.27,299,29.9,29.75,643,64.3,63.98,,,,1005,100.5,299,643,
41018-1883901,PCS,TG-A3500 100*40*0.5mm 雙背S203,長±0.6寬±0.4厚±0.05 500PCS/3000箱 全斷,5,,,,,54,10.8,5.27,308,61.6,30.05,663,132.6,64.68,,,,1025,205,308,663,
41018-1884001,PCS,TG-A3500 45*45*1.0mm 不背膠,長寬±0.4厚±0.10 500PCS/3000箱 半斷/透明保護膜,20,,,,,192,9.6,42.01,84,4.2,18.38,181,9.05,39.61,,,,457,22.85,84,181,
41018-1884501,PCS,TG-A1250 7*7*0.25mm 不背膠,長寬±0.2厚±0.03 1000PCS/500000箱 膜斷/透明保護膜,50,,,,,84,1.68,21.54,97,1.94,24.87,209,4.18,53.59,,,,390,7.8,97,209,
41018-1884601,PCS,TG-A1250 3*3*0.25mm 不背膠,長寬±0.2厚±0.03 1000PCS/3000000箱 膜斷/透明保護膜,50,,,,,84,1.68,20.64,102,2.04,25.06,221,4.42,54.3,,,,407,8.14,102,221,
41018-1884701,PCS,TG-A1250 8*6*0.25mm 不背膠,長寬±0.2厚±0.03 1000PCS/600000箱 膜斷/透明保護膜,50,,,,,84,1.68,21.82,95,1.9,24.68,206,4.12,53.51,,,,385,7.7,95,206,
41018-1884801,PCS,TG-A1250 9.6*4.8*0.25mm 不背膠,長寬±0.2厚±0.03 1000PCS/600000箱 膜斷/透明保護膜,50,,,,,84,1.68,19.13,112,2.24,25.51,243,4.86,55.35,,,,439,8.78,112,243,
41018-1884901,PCS,TG-A1250 3*3*0.5mm 不背膠,長寬±0.2厚±0.03 1000PCS/1000000箱 膜斷/透明保護膜,50,,,,,90,1.8,18.11,129,2.58,25.96,278,5.56,55.94,,,,497,9.94,129,278,
41018-1885001,PCS,TG-A1250 7*7*0.5mm 不背膠,長寬±0.2厚±0.03 1000PCS/300000箱 膜斷/透明保護膜,50,,,,,90,1.8,11.49,220,4.4,28.1,473,9.46,60.41,,,,783,15.66,220,473,
41018-1885101,PCS,TG-A1250 8*6*0.5mm 不背膠,長寬±0.2厚±0.03 1000PCS/300000箱 膜斷/透明保護膜,50,,,,,90,1.8,20.55,110,2.2,25.11,238,4.76,54.34,,,,438,8.76,110,238,
41018-1885201,PCS,TG-A1250 9.6*4.8*0.5mm 不背膠,長寬±0.2厚±0.03 1000PCS/300000箱 膜斷/透明保護膜,50,,,,,90,1.8,23.26,94,1.88,24.29,203,4.06,52.45,,,,387,7.74,94,203,
41018-1885301,PCS,TG-A3500 89*75*9.0mm 不背膠,長寬±0.6厚±0.45 10PCS/90箱 半斷/透明保護膜,6,,,,,824,137.3333,64.93,141,23.5,11.11,304,50.6667,23.96,,,,1269,211.5,141,304,
41018-1885401,PCS,TG-A4500 40*8*0.8mm 不背膠,長±0.4寬±0.2厚±0.08 1000PCS/20000箱 半斷/透明保護膜,1750,,,,,1122,0.6411,39.53,544,0.3109,19.17,1172,0.6697,41.3,,,,2838,1.6217,544,1172,
41018-1885501,PCS,TG-A1780 17*5*0.5mm 不背膠,長±0.3寬±0.2厚±0.05 1000PCS/100000箱 半斷/條狀/透明保護膜,15,,,,,600,40,56.39,147,9.8,13.82,317,21.1333,29.79,,,,1064,70.9333,147,317,
41018-1885601,PCS,TG-A6200 18*18*0.75mm 不背膠,長寬±0.2厚±0.08 1000PCS/20000箱 半斷/藍色保護膜,100,,,,,90,0.9,24.06,90,0.9,24.06,194,1.94,51.87,,,,374,3.74,90,194,
41018-1885701,PCS,TG-A3500F 208*2.5*0.5mm 雙背3M9448,長±1.5寬±0.2厚±0.05 1000PCS/20000箱 膜斷,200,,1000.244,1000.244,,2329,1.9404,47.03,831,0.6924,16.78,1792,1.493,36.19,,,,4952,4.1258,831,1792,
41018-1885901,PCS,TG-A4500 5*5*3.0mm 不背膠,長寬±0.2厚±0.25 1000PCS/90000箱 膜斷/條狀/透明保護膜/加拉拔5mm(5),576,,,,,468,0.8125,15.95,782,1.3576,26.65,1684,2.9236,57.4,,,,2934,5.0937,782,1684,
41018-1886001,PCS,TG-A6200 15.5*11*0.5mm 不背膠,長寬±0.3厚±0.05 1000PCS/80000箱 半斷/藍色保護膜,100,,,,,80,0.8,23.46,83,0.83,24.34,178,1.78,52.2,,,,341,3.41,83,178,
41018-1886101,PCS,TG-A6200 14.3*11.6*0.5mm 不背膠,長寬±0.3厚±0.05 1000PCS/80000箱 半斷/藍色保護膜,100,,,,,80,0.8,19.75,103,1.03,25.43,222,2.22,54.81,,,,405,4.05,103,222,
41018-1886401,PCS,TG-A3500 35*24*0.5mm 不背膠,長±0.4寬±0.3厚±0.05 1000PCS/10000箱 半斷/透明保護膜,10,,,,,48,4.8,12.47,107,10.7,27.79,230,23,59.74,,,,385,38.5,107,230,
41018-1886501,PCS,TG-A4500 DIA74.4*1.2mm 不背膠 沖型,長寬±0.6厚±0.12 100PCS/1000箱 半斷/透明保護膜/雷切/20260422-TG-0003,,,44.987,,,1322,29.3863,100,,,,,,,,,,1322,29.3863,,,
41018-1886601,PCS,TG-A4500 DIA74.4*1.2mm 不背膠 沖型,長寬±0.6厚±0.12 100PCS/1000箱 半斷/透明保護膜/依圖加拉拔5mm/雷切/20260427-TG-0003,,,25.011,,,481,19.2315,100,,,,,,,,,,481,19.2315,,,
41018-1886901,PCS,TG-A4500 60*60*2.5mm 不背膠,長寬±0.5厚±0.25 100PCS/800箱 半斷/透明保護膜,1,,,,,204,204,45.13,79,79,17.48,169,169,37.39,,,,452,452,79,169,
41018-1887001,PCS,TG-A4500 60*60*1.0mm 不背膠,長寬±0.5厚±0.10 200PCS/2000箱 半斷/透明保護膜,1,,,,,89,89,32.72,58,58,21.32,125,125,45.96,,,,272,272,58,125,
41018-1887101,PCS,TG-A1250 32*25*2.0mm 單背S203,長±0.4寬±0.3厚±0.20 500PCS/4000箱 半斷/透明保護膜,30,,,,,185,6.1667,25.41,172,5.7333,23.63,371,12.3667,50.96,,,,728,24.2667,172,371,
41018-1887201,PCS,TG-A6200 29*21*0.5mm 不背膠,長寬±0.3厚±0.05 1000PCS/20000箱 半斷/透明保護膜,500,,,,,642,1.284,41.74,284,0.568,18.47,612,1.224,39.79,,,,1538,3.076,284,612,
41018-1887301,PCS,TG-A3500 60*25*6.0mm 不背膠,長±0.5寬±0.3厚±0.40 100PCS/800箱 半斷/透明保護膜,8,,,,,307,38.375,64.77,53,6.625,11.18,114,14.25,24.05,,,,474,59.25,53,114,
41018-1887401,PCS,TG-A4500 60*25*4.5mm 不背膠,長±0.5寬±0.3厚±0.30 100PCS/1000箱 半斷/透明保護膜,8,,,,,309,38.625,54.69,81,10.125,14.34,175,21.875,30.97,,,,565,70.625,81,175,
41018-1887501,PCS,TG-A6200 36*25*1.5mm 不背膠,長±0.4寬±0.3厚±0.15 500PCS/5000箱 半斷/透明保護膜,8,,,,,125,15.625,39.31,61,7.625,19.18,132,16.5,41.51,,,,318,39.75,61,132,
41018-1887601,PCS,TG-A3500F 175*3.6*1.2mm 雙背3M9448,長±1.0寬±0.2厚±0.12 500PCS/5000箱 膜斷,40,,,,,143,3.575,12.99,304,7.6,27.61,654,16.35,59.4,,,,1101,27.525,304,654,
41018-1887701,PCS,TG-A4500F 28*10*3.0mm 不背膠,長±0.3寬±0.2厚±0.25 1000PCS/8000箱 半斷,30,,,,,242,8.0667,45.23,93,3.1,17.38,200,6.6667,37.38,,,,535,17.8334,93,200,
41018-1887801,PCS,TG-A3500F 310*310*1.2mm 不背膠,長寬±1.5厚±0.12 10PCS/60箱 直出不修邊,1,,,,,240,240,53.22,67,67,14.86,144,144,31.93,,,,451,451,67,144,
41018-1887901,PCS,TG-A3500 300*210*1.5mm 不背膠,長寬±1.5厚±0.15 5PCS/50箱 全斷/透明保護膜,1,,,,,250,250,53.08,70,70,14.86,151,151,32.06,,,,471,471,70,151,
41018-1888201,PCS,TG-A4500 18.3*16.3*2.0mm 不背膠 沖型,長寬±0.3厚±0.20 1000PCS/10000箱 半斷/透明保護膜/雷切/20260429-TG-0003,30,,,,,180,6,42.96,76,2.5333,18.14,163,5.4333,38.9,,,,419,13.9666,76,163,
41018-1888301,PCS,TG-A4500 6.7*6.2*1.5mm 不背膠,長寬±0.2厚±0.15 1000PCS/100000箱 半斷/透明保護膜,30,,,,,160,5.3333,42.11,70,2.3333,18.42,150,5,39.47,,,,380,12.6666,70,150,
41018-1888401,PCS,TG-A4500 24.5*10.5*2.5mm 不背膠,長寬±0.3厚±0.25 1000PCS/10000箱 半斷/透明保護膜,30,,,,,204,6.8,40.56,95,3.1667,18.89,204,6.8,40.56,,,,503,16.7667,95,204,
41019-0000601,PCS,FAM1 200*200*0.5mm 單面背膠,長寬±1.0厚±0.05 10PCS/150箱 全斷,2,,,,,906,453,82.59,58,29,5.29,133,66.5,12.12,,,,1097,548.5,37,80,
41019-0000701,PCS,FAM1 200*200*2.5mm 單面背膠,長寬±1.0厚±0.25 5PCS/20箱 全斷/使用裁刀切,,,6,6,,10469,1744.8333,95.78,146,24.3333,1.34,315,52.5,2.88,,,,10930,1821.6666,146,315,
41019-0002001,PCS,FAM3 400*400*0.5mm 單面背膠,長寬±1.5厚±0.05 10PCS/100箱,1,,,,,1381,1381,78.11,123,123,6.96,264,264,14.93,,,,1768,1768,123,264,
41019-0004001,PCS,FAM1 100*100*0.2mm 單面背膠,長寬±0.6厚±0.03 20PCS/1000箱 全斷/使用裁刀切,4,,,,,221,55.25,31.98,149,37.25,21.56,321,80.25,46.45,,,,691,172.75,149,321,
41019-0005301,PCS,FAM3 100*100*0.75mm 單面背膠,長寬±0.6厚±0.05 100PCS/900箱 全斷,4,,,,,1340,335,72.59,161,40.25,8.72,345,86.25,18.69,,,,1846,461.5,161,345,
41019-0006501,PCS,FAM6 297*210*0.05mm 單面背膠,長寬±1.5厚±0.03 100PCS/1000箱,2,,,,,779,389.5,60.02,165,82.5,12.71,354,177,27.27,,,,1298,649,165,354,
41019-0006601,PCS,FAM6 297*210*0.2mm 單面背膠,長寬±1.5厚±0.03 50PCS/400箱,2,,,,,1686,843,82.16,116,58,5.65,250,125,12.18,,,,2052,1026,116,250,
41019-0006701,PCS,FAM6 297*210*0.5mm 單面背膠,長寬±1.5厚±0.05 10PCS/100箱 直出不修邊,1,,,,,1306,1306,89.03,51,51,3.48,110,110,7.5,,,,1467,1467,51,110,
41019-0011201,PCS,FAM6 297*210*0.1mm 單面背膠,長寬±1.5厚±0.03 100PCS/800箱 全斷,1,,,,,547,547,79.39,45,45,6.53,97,97,14.08,,,,689,689,45,97,
41019-0013201,PCS,FAM6 100*100*0.2mm 單面背膠,長寬±0.6厚±0.03 500PCS/3000箱 全斷,1,,,,,421,421,59.97,89,89,12.68,192,192,27.35,,,,702,702,89,192,
41019-0015801,PCS,FAM6 100*100*0.1mm 單面背膠,長寬±0.6厚±0.03 1000PCS/7000箱 全斷,1,,,,,273,273,29.8,204,204,22.27,439,439,47.93,,,,916,916,204,439,
41019-0021102,PCS,FAM6 39.48*27.24*0.3mm 單面背膠 沖型(銀色面),長±0.4寬±0.3厚±0.03 1000PCS/20000箱 全斷/Z4001-0329301/量產模/12穴/裁36PCS,950,,,,,31388,33.04,75.07,3303,3.4768,7.9,7118,7.4926,17.03,,,,41809,44.0094,3303,7118,
41019-0023001,PCS,FAM6 33*31.9*0.3mm 單面背膠 沖型,長寬±0.4厚±0.03 1000PCS/20000箱 半斷/Z4001-0349601/量產模/10穴/裁40PCS,1100,,,,,30856,28.0509,86.38,1542,1.4018,4.32,3322,3.02,9.3,,,,35720,32.4727,1542,3322,
41019-0028501,PCS,FAM7 50*50*0.22mm 單面背膠+PET,長寬±0.4厚±0.03 1000PCS/10000箱 半斷,10,,,,,581,58.1,27.93,475,47.5,22.84,1024,102.4,49.23,,,,2080,208,475,1024,
41019-0028601,PCS,FAM3 40*40*0.25mm 單面背膠,長寬±0.4厚±0.03 1000PCS/10000箱 全斷,3,,,,,289,96.3333,37.88,150,50,19.66,324,108,42.46,,,,763,254.3333,150,324,
41019-0028701,PCS,FAM6 80*20*0.5mm 單面背膠,長±0.6寬±0.3厚±0.05 1000PCS/7000箱 全斷,5,,,,,1306,261.2,68.52,190,38,9.97,410,82,21.51,,,,1906,381.2,190,410,
41019-0028801,PCS,FAM6 80*20*0.3mm 單面背膠,長±0.6寬±0.3厚±0.03 1000PCS/10000箱 全斷,5,,,,,1064,212.8,79.76,86,17.2,6.45,184,36.8,13.79,,,,1334,266.8,86,184,
41020-0000701,PCS,TG-V838 12*12*0.13mm,K=3.8 長寬±0.25厚±0.04 1000PCS/300000箱,30,,,,,50,1.6667,8.94,161,5.3667,28.8,348,11.6,62.25,,,,559,18.6334,161,348,
41020-0003501,PCS,TG-V838 52*52*0.13mm,長寬±0.5厚±0.04 1000PCS/10000箱 膜斷/加拉拔5mm(52),,,253.034,,,1759,6.9516,100,,,,,,,,,,1759,6.9516,,,
41020-0005601,PCS,TG-V833 31.75*31.75*0.13mm 不背膠,長寬±0.25厚±0.04 1000PCS/30000箱 全斷/一般矩形/加拉拔邊15mm,460,,,,,1304,2.8348,30.05,963,2.0935,22.19,2073,4.5065,47.76,,,,4340,9.4348,963,2073,
41020-0006601,PCS,TG-V838 15*15*0.13mm,長寬±0.25厚±0.04 1000PCS/90000箱 膜斷/加拉拔5mm(15),5000,,,,,3015,0.603,45.43,1148,0.2296,17.3,2473,0.4946,37.27,,,,6636,1.3272,1148,2473,
41020-0006701,PCS,TG-V838 20*20*0.13mm,長寬±0.25厚±0.04 1000PCS/100000箱 膜斷/加拉拔5mm(20),5000,,,,,5226,1.0452,55.85,1310,0.262,14,2822,0.5644,30.16,,,,9358,1.8716,1310,2822,
41020-0009901,PCS,TG-V838 300*200*0.13mm,長±0.45寬±0.35厚±0.04 100PCS/600箱 全斷,4,,,,,403,100.75,50.25,126,31.5,15.71,273,68.25,34.04,,,,802,200.5,126,273,
41020-0010301,PCS,TG-V838 100*100*0.13mm,長寬±0.25厚±0.04 500PCS/5000箱 全斷,1,,,,,101,101,27.52,84,84,22.89,182,182,49.59,,,,367,367,84,182,
41020-0014101,PCS,TG-V833P 21*16*0.13mm 單背3M467 沖型,長寬±0.25厚±0.04 1000PCS/100000箱 膜斷/加拉拔3mm(16)/Z4001-0267302/量產模/28穴,3307,,441.874,441.874,,10485,2.7968,19.09,13932,3.7163,25.36,30520,8.1411,55.55,,,,54937,14.6542,12354,26623,
41020-0023801,PCS,TG-V838 30*5*0.13mm,長寬±0.25厚±0.04 1000PCS/300000箱 膜斷/上下添加紙板加固,3960,,,,,1307,0.3301,34.87,774,0.1955,20.65,1667,0.421,44.48,,,,3748,0.9466,774,1667,
41020-0024501,PCS,TG-PCM095 100*100*0.2mm,長寬±0.6厚±0.03 500PCS/3000箱 膜斷/加拉拔5mm(100)/底膜雙邊留邊/包裝加EPE泡棉,7,,,,,3395,485,54.1,913,130.4286,14.55,1967,281,31.35,,,,6275,896.4286,913,1967,
41020-0025601,PCS,TG-PCM095 200*160*0.25mm,長寬±1.0厚±0.03 50PCS/300箱 直出不修邊/包裝加EPE泡棉,3,,,,,1590,530,70.86,207,69,9.22,447,149,19.92,,,,2244,748,207,447,
41020-0025801,PCS,TG-PCM095 100*100*0.25mm,長寬±0.6厚±0.03 500PCS/3000箱 膜斷/加拉拔5mm(100)/底膜雙邊留邊/包裝加EPE泡棉,2,,,,,1060,530,78.87,90,45,6.7,194,97,14.43,,,,1344,672,90,194,
41020-0027201,PCS,TG-PCM095 200*160*0.2mm,長寬±1.0厚±0.03 50PCS/400箱 直出不修邊/包裝加EPE泡棉,22,,,,,10670,485,87.18,497,22.5909,4.06,1072,48.7273,8.76,,,,12239,556.3182,497,1072,
41020-0029301,PCS,TG-V838 36.7*29.2*0.2mm,長寬±0.25厚±0.04 1000PCS/30000箱 膜斷/加拉拔5mm(29.2),40,,,,,230,5.75,14.47,431,10.775,27.11,929,23.225,58.43,,,,1590,39.75,431,929,
41020-0029401,PCS,TG-PCM095 4.9*2.9*0.2mm,長寬±0.2厚±0.03 1000PCS/2000000箱 膜斷/條狀/加拉拔3mm(2.9)/跳間隔5mm/底膜雙邊留邊/包裝加EPE泡棉,80,,,,,484,6.05,12.51,1073,13.4125,27.74,2311,28.8875,59.75,,,,3868,48.35,1073,2311,
41020-0029501,PCS,TG-PCM095 4.9*2.9*0.25mm,長寬±0.2厚±0.03 1000PCS/2000000箱 膜斷/條狀/加拉拔3mm(2.9)/跳間隔5mm/底膜雙邊留邊/包裝加EPE泡棉,30,,,,,265,8.8333,15.56,456,15.2,26.78,982,32.7333,57.66,,,,1703,56.7666,456,982,
41020-0029601,PCS,TG-PCM095 25*25*0.25mm,長寬±0.3厚±0.03 1000PCS/40000箱 膜斷/條狀/加拉拔5mm(25)/跳間隔3mm(25)/底膜雙邊留邊/包裝加EPE泡棉,4,,,,,265,66.25,25,252,63,23.77,543,135.75,51.23,,,,1060,265,252,543,
41020-0029701,PCS,TG-PCM095 25*25*0.2mm,長寬±0.3厚±0.03 1000PCS/60000箱 膜斷/條狀/加拉拔5mm(25)/跳間隔3mm(25)/底膜雙邊留邊/包裝加EPE泡棉,4,,,,,242,60.5,17.34,366,91.5,26.22,788,197,56.45,,,,1396,349,366,788,
41020-0029801,PCS,TG-PCM095 72.5*69*0.2mm,長±0.6寬±0.5厚±0.03 1000PCS/6000箱 膜斷/條狀/加拉拔5mm(69)/跳間隔3mm/底膜雙邊留邊/包裝加EPE泡棉,2,,,,,485,242.5,30.45,351,175.5,22.03,757,378.5,47.52,,,,1593,796.5,351,757,
41020-0029901,PCS,TG-PCM095 80*80*0.2mm,長寬±0.6厚±0.03 500PCS/3000箱 膜斷/條狀/加拉拔5mm(80)/跳間隔5mm(80)/底膜雙邊留邊/包裝加EPE泡棉,8,,,,,2425,303.125,60.56,500,62.5,12.49,1079,134.875,26.95,,,,4004,500.5,500,1079,
41020-0030001,PCS,TG-PCM095 35*35*0.25mm,長寬±0.4厚±0.03 1000PCS/20000箱 膜斷/條狀/加拉拔5mm(35)/跳間隔5mm(35)/底膜雙邊留邊/包裝加EPE泡棉,3,,,,,530,176.6667,50.86,162,54,15.55,350,116.6667,33.59,,,,1042,347.3334,162,350,
41020-0030101,PCS,TG-PCM095 12*12*0.25mm,長寬±0.3厚±0.03 1000PCS/200000箱 膜斷/條狀/加拉拔5mm(12)/跳間隔5mm(12)/底膜雙邊留邊/包裝加EPE泡棉,30,,,,,530,17.6667,44.46,210,7,17.62,452,15.0667,37.92,,,,1192,39.7334,210,452,
41020-0030201,PCS,TG-V838 65*16.5*0.13mm,長寬±0.25厚±0.04 1000PCS/40000箱 膜斷/加拉拔24mm(16.5),50,,,,,201,4.02,7.41,796,15.92,29.34,1716,34.32,63.25,,,,2713,54.26,796,1716,
41020-0030301,PCS,TG-V838 98.5*53.5*0.13mm 沖型,長寬±0.25厚±0.04 1000PCS/9000箱 膜斷/加拉拔20mm(53.5)/雷切/20260413-TG-0003,50,,,,,854,17.08,22.77,918,18.36,24.47,1979,39.58,52.76,,,,3751,75.02,918,1979,
41020-0030401,PCS,TG-V838 44*34*0.13mm,長寬±0.25厚±0.04 1000PCS/30000箱 膜斷,10,,,,,50,5,14.41,94,9.4,27.09,203,20.3,58.5,,,,347,34.7,94,203,
41020-0030501,PCS,TG-PCM095 9.6*4.8*0.25mm,長寬±0.2厚±0.03 1000PCS/600000箱 膜斷/條狀/加拉拔5mm(4.8)/跳間隔3mm/底膜雙邊留邊/包裝加EPE泡棉,50,,,,,530,10.6,29.01,411,8.22,22.5,886,17.72,48.49,,,,1827,36.54,411,886,
41020-0030601,PCS,TG-PCM095 75*75*0.2mm,長寬±0.6厚±0.03 1000PCS/6000箱 膜斷/條狀/加拉拔5mm(75)/跳間隔5mm(75)/底膜雙邊留邊/包裝加EPE泡棉,4,,,,,1454,363.5,63.55,264,66,11.54,570,142.5,24.91,,,,2288,572,264,570,
41021-0000701,PCS,PH3 27*12*0.2mm 單背3M9460(銅箔面),長寬±0.3厚±0.02 1000PCS/100000箱 半斷/實出TG-P10090,1190,,,,,501,0.421,12.53,1109,0.9319,27.73,2390,2.0084,59.75,,,,4000,3.3613,1109,2390,
41022-0000201,PCS,Ti900 19.05*10.41*0.12mm 不背膠 沖型,長±0.3寬±0.2厚±0.03 1000PCS/300000箱 全斷/3-MOD-1469/量產模/1010308-09,559,,,,,413,0.7388,17.38,622,1.1127,26.18,1341,2.3989,56.44,,,,2376,4.2504,622,1341,
41022-0001601,PCS,Ti900 382.13*205*0.12mm 單面背膠 沖型,長寬±1.5厚±0.03 100PCS/500箱 全斷/Z4001-0004001(4MOD-2537)/圖號1081224-01/量產模/1穴/裁1PCS,,,24.999,,,7337,293.4917,100,,,,,,,,,,7337,293.4917,,,
41022-0001701,PCS,Ti900 20*20*0.12mm 不背膠,長寬±0.3厚±0.03 1000PCS/100000箱 全斷,294,,,,,275,0.9354,27.2,233,0.7925,23.05,503,1.7109,49.75,,,,1011,3.4388,233,503,
41022-0001901,PCS,Ti900 63.5*50.8*0.12mm 雙背W203 沖型,長±0.5寬±0.4厚±0.03 1000PCS/15000箱 半斷/3-MOD-1477/量產模/12穴/1010308-17/DC0022/03,,,5.001,5.001,,144,28.7942,14.97,259,51.7896,26.92,559,111.7776,58.11,,,,962,192.3614,259,559,
41022-0003801,PCS,Ti900 405*205*0.12mm 單背TT500 沖型,長寬±1.5厚±0.03 100PCS/600箱 全斷/4MOD-2461/1080902-01/量產模1穴,,,24.999,,,7337,293.4917,100,,,,,,,,,,7337,293.4917,,,
41022-0004601,PCS,Ti900 19.05*12.7*0.12mm 不背膠 沖型,長寬±0.3厚±0.03 20000PCS/200000箱 全斷/3MOD-C1470/1010308-10/量產模/20穴/裁425PCS,10,,,,,138,13.8,19.33,183,18.3,25.63,393,39.3,55.04,,,,714,71.4,183,393,
41022-0004701,PCS,Ti900 19.05*12.7*0.12mm 不背膠 沖型,長寬±0.3厚±0.03 20000PCS/200000箱 全斷/4MOD-1806/1010308-11/量產模/20穴/裁345PCS,1700,,,,,1515,0.8912,20.19,1898,1.1165,25.29,4091,2.4065,54.52,,,,7504,4.4142,1898,4091,
41022-0008401,PCS,Ti900 27*22*0.12mm 不背膠 沖型,長寬±0.3厚±0.03 1000PCS/100000箱 全斷/Z4001-0276401/量產模/60穴/裁120PCS,607,,,,,1652,2.7216,31.88,1119,1.8435,21.59,2411,3.972,46.53,,,,5182,8.5371,1119,2411,
41022-0008501,PCS,Ti900 290*290*0.12mm 單背S203,長寬±1.5厚±0.03 100PCS/600箱 全斷,24,,10,,,10271,302.0882,66.92,1610,67.0833,10.49,3467,144.4583,22.59,,,,15348,513.6298,1610,3467,
41022-0009301,PCS,Ti900 118*22*0.12mm 不背膠,長±0.8寬±0.3厚±0.03 1000PCS/10000箱 全斷,2000,,,,,14044,7.022,60.84,2865,1.4325,12.41,6173,3.0865,26.74,,,,23082,11.541,2865,6173,
41023-0001801,PCS,TG4040 123*64*2.0mm+TG4040 48*38*2.0mm,長±1.0寬±0.5厚±0.20 8PCS/120箱 不背膠/沖型/半斷/3-MOD-C1530/1010508-01/量產模/8穴/2個料一組,200,,,,,7650,38.25,64.68,1272,6.36,10.76,2905,14.525,24.56,,,,11827,59.135,753,1622,
41023-0003701,SET,PAD組合件(PE9010-T) 112.9*34*0.15mm,90SET/箱 含組裝/PET藍膜/TG-A38KXP 18*14*3.75*2pcs+12.59*10.68*3.75*1pcs+17*17*3.25*1pcs/Tray盤裝,10818,,3663.085,3663.085,,374445,25.8575,94.22,428,0.0296,0.11,927,0.064,0.23,21636,2,5.44,397436,27.9511,344,742,21636
41023-0003801,SET,PAD組合件(PE9010-B) 112.9*34*0.15mm,90SET/箱 含組裝/PET紅膜/TG-A38KXP 18*14*3.75*2pcs+15*10*3.75*1pcs/Tray盤裝,10818,,6600.591,6600.591,,378539,21.7319,95.47,556,0.0319,0.14,1199,0.0688,0.3,16227,1.5,4.09,396521,23.3326,506,1089,16227
41023-0004501,SET,PAD組合件(M7450-T) 112.9*34*0.2mm,90SET/箱 含組裝/PET藍膜/TG-A38KXP 14.6*14.6*3*1pcs+16.55*11.44*3.75*1pcs+14*8*3.75*2pcs/Tray盤裝,90104,,31070.508,31070.508,,2653230,21.8959,92.99,6234,0.0514,0.22,13449,0.111,0.47,180208,2,6.32,2853121,24.0583,5519,11894,180208
41023-0004601,SET,PAD組合件(M7450-B) 112.9*34*0.2mm,90SET/箱 含組裝/PET紅膜/TG-A38KXP 12.5*6.5*3.5*1pcs+14*8*3.75*2pcs/Tray盤裝,86842,,23218.189,23218.189,,2013600,18.2954,91.76,15998,0.1454,0.73,34514,0.3136,1.57,130249,1.4998,5.94,2194361,20.2542,15548,33500,130249
41024-0002401,PCS,TG-A20KX 190*140*0.5mm 不背膠,長±1.0寬±0.8厚±0.05 50PCS/300箱 全斷/透明保護膜,15,,,,,842,56.1333,43.88,341,22.7333,17.77,736,49.0667,38.35,,,,1919,127.9333,341,736,
41024-0004201,PCS,TG-A20KX 190*140*4.0mm 不背膠,長±1.0寬±0.8厚±0.30 10PCS/40箱 全斷/透明保護膜,126,,,,,25680,203.8095,80.99,1911,15.1667,6.03,4116,32.6667,12.98,,,,31707,251.6429,1911,4116,
